	set1_id	set1_country	set1_city	set2_id	set2_country	set2_city	set1_orgname_with_city	set2_orgname_with_city	set1_tokens	set2_tokens	similarity	id_match
0	60139515	United States	Boston	60141202	United States	Boston	College of Engineering, Boston	College of Engineering, Boston	college|engineering|boston	college|engineering|boston	1.0	False
1	60141202	United States	Boston	60139515	United States	Boston	College of Engineering, Boston	College of Engineering, Boston	college|engineering|boston	college|engineering|boston	1.0	False
2	60138445	United States	Bloomington	60021121	United States	Bloomington	Indiana University, Bloomington	Indiana University Bloomington, Bloomington	indiana|university|bloomington	indiana|university|bloomington|bloomington	1.0	False
3	60150620	United States	Austin	60288452	United States	Austin	Oden Institute for Computational Engineering & Sciences, Austin	Oden Institute for Computational Engineering and Sciences, Austin	oden|institute|computational|engineering|sciences|austin	oden|institute|computational|engineering|sciences|austin	1.0	False
4	60134947	China	Shanghai	60073625	China	Shanghai	Institute of Fine Chemicals, Shanghai	Institute of Fine Chemicals, Shanghai	institute|fine|chemicals|shanghai	institute|fine|chemicals|shanghai	1.0	False
5	60138287	China	Lanzhou	60298098	China	Lanzhou	Lanzhou Institute of Biological Products Co., Ltd, Lanzhou	Lanzhou Institute of Biological Products Co., Ltd., Lanzhou	lanzhou|institute|biological|products|lanzhou	lanzhou|institute|biological|products|lanzhou	1.0	False
6	60138276	France	Clermont-Ferrand	60004135	France	Clermont-Ferrand	University of Clermont Auvergne, Clermont-Ferrand	University of Auvergne, Clermont-Ferrand	university|clermont|auvergne|clermont|ferrand	university|auvergne|clermont|ferrand	1.0	False
7	60136555	United States	Providence	60021025	United States	Providence	Providence VA Medical Center, Providence	Providence VA Medical Center, Providence	providence|va|medical|center|providence	providence|va|medical|center|providence	1.0	False
8	60150236	United States	Athens	60134793	United States	Athens	Terry College of Business, Athens	Terry College of Business, Athens	terry|college|business|athens	terry|college|business|athens	1.0	False
9	60134793	United States	Athens	60150236	United States	Athens	Terry College of Business, Athens	Terry College of Business, Athens	terry|college|business|athens	terry|college|business|athens	1.0	False
10	60157982	Pakistan	Peshawar	60064800	Pakistan	Peshawar	The University of Agriculture, Peshawar, Peshawar	The University of Agriculture, Peshawar, Peshawar	university|agriculture|peshawar|peshawar	university|agriculture|peshawar|peshawar	1.0	False
11	60138508	United States	Gaithersburg	60322604	United States	Gaithersburg	Novavax, Inc., Gaithersburg	Novavax Inc, Gaithersburg	novavax|gaithersburg	novavax|gaithersburg	1.0	False
12	60135792	China	Xiamen	60122377	China	Xiamen	School of Medicine, Xiamen	School of Medicine, Xiamen	school|medicine|xiamen	school|medicine|xiamen	1.0	False
13	60136673	United States	Pittsburgh	60159101	United States	Pittsburgh	Center for the Neural Basis of Cognition, Pittsburgh	Center for the Neural Basis of Cognition, Pittsburgh	center|neural|basis|cognition|pittsburgh	center|neural|basis|cognition|pittsburgh	1.0	False
14	60159101	United States	Pittsburgh	60136673	United States	Pittsburgh	Center for the Neural Basis of Cognition, Pittsburgh	Center for the Neural Basis of Cognition, Pittsburgh	center|neural|basis|cognition|pittsburgh	center|neural|basis|cognition|pittsburgh	1.0	False
15	60138011	United States	Chicago	60027147	United States	Chicago	Department of Medicine, Chicago	Department of Medicine, Chicago	department|medicine|chicago	department|medicine|chicago	1.0	False
16	60138011	United States	Chicago	60021484	United States	Chicago	Department of Medicine, Chicago	Department of Medicine, Chicago	department|medicine|chicago	department|medicine|chicago	1.0	False
17	60147441	United States	Chicago	60009281	United States	Chicago	Department of Surgery, Chicago	Department of Surgery, Chicago	department|surgery|chicago	department|surgery|chicago	1.0	False
18	60147441	United States	Chicago	60032488	United States	Chicago	Department of Surgery, Chicago	Department of Surgery, Chicago	department|surgery|chicago	department|surgery|chicago	1.0	False
19	60197143	Qatar	Doha	60310371	Qatar	Doha	College of Law, Doha	College of Law, Doha	college|law|doha	college|law|doha	1.0	False
20	60202203	Egypt	Beni Suef	60276313	Egypt	Beni Suef	Faculty of Medicine, Beni Suef	Faculty of Medicine, Beni Suef	faculty|medicine|beni|suef	faculty|medicine|beni|suef	1.0	False
21	60199560	Lebanon	Beirut	60199550	Lebanon	Beirut	Faculty of Medicine, Beirut	Faculty of Medicine, Beirut	faculty|medicine|beirut	faculty|medicine|beirut	1.0	False
22	60199550	Lebanon	Beirut	60199560	Lebanon	Beirut	Faculty of Medicine, Beirut	Faculty of Medicine, Beirut	faculty|medicine|beirut	faculty|medicine|beirut	1.0	False
23	60199406	Colombia	Bogota	60054312	Colombia	Bogota	Facultad de Medicina, Bogota	Facultad de Medicina, Bogota	facultad|de|medicina|bogota	facultad|de|medicina|bogota	1.0	False
24	60199406	Colombia	Bogota	60054312	Colombia	Bogota	Faculty of Medicine, Bogota	Faculty of Medicine, Bogota	faculty|medicine|bogota	faculty|medicine|bogota	1.0	False
